"Index","Verse","Text"
"Matthew 3:15","But Jesus, answering, said to him,
“Allow it now, for this is the fitting way for us to fulfill all righteousness.” Then he allowed him.
"
"Matthew 4:4","But he answered,
“It is written, ‘Man shall not live by bread alone, but by every word that proceeds out of the mouth of God.’”
"
"Matthew 4:7","Jesus said to him,
“Again, it is written, ‘You shall not test the Lord, your God.’”
"
"Matthew 4:10","Then Jesus said to him,
“Get behind me,
Satan! For it is written, ‘You shall worship the Lord your God, and you shall serve him only.’”

"
"Matthew 4:17","From that time, Jesus began to preach, and to say,
“Repent! For the Kingdom of Heaven is at hand.”
"
"Matthew 4:19","He said to them,
“Come after me, and I will make you fishers for men.”
"
"Matthew 5:3","
“Blessed are the poor in spirit,
for theirs is the Kingdom of Heaven.
"
"Matthew 5:4","
Blessed are those who mourn,
for they shall be comforted.
"
"Matthew 5:5","
Blessed are the gentle,
for they shall inherit the earth.
"
"Matthew 5:6","
Blessed are those who hunger and thirst after righteousness,

for they shall be filled.
"
"Matthew 5:7","
Blessed are the merciful,
for they shall obtain mercy.
"
"Matthew 5:8","
Blessed are the pure in heart,
for they shall see God.
"
"Matthew 5:9","
Blessed are the peacemakers,
for they shall be called children of God.
"
"Matthew 5:10","
Blessed are those who have been persecuted for righteousness’ sake,

for theirs is the Kingdom of Heaven.
"
"Matthew 5:11","
“Blessed are you when people reproach you, persecute you, and say all kinds of evil against you falsely, for my sake.

"
"Matthew 5:12","
Rejoice, and be exceedingly glad, for great is your reward in heaven. For that is how they persecuted the prophets who were before you.

"
"Matthew 5:13","
“You are the salt of the earth, but if the salt has lost its flavor, with what will it be salted? It is then good for nothing, but to be cast out and trodden under the feet of men.

"
"Matthew 5:14","
You are the light of the world. A city located on a hill can’t be hidden.

"
"Matthew 5:15","
Neither do you light a lamp, and put it under a measuring basket, but on a stand; and it shines to all who are in the house.

"
"Matthew 5:16","
Even so, let your light shine before men; that they may see your good works, and glorify your Father who is in heaven.
"
"Matthew 5:17","
“Don’t think that I came to destroy the law or the prophets. I didn’t come to destroy, but to fulfill.

"
"Matthew 5:18","
For most certainly, I tell you, until heaven and earth pass away, not even one smallest letter
or one tiny pen stroke
shall in any way pass away from the law, until all things are accomplished.

"
"Matthew 5:19","
Whoever, therefore, shall break one of these least commandments, and teach others to do so, shall be called least in the Kingdom of Heaven; but whoever shall do and teach them shall be called great in the Kingdom of Heaven.

"
"Matthew 5:20","
For I tell you that unless your righteousness exceeds that of the scribes and Pharisees, there is no way you will enter into the Kingdom of Heaven.
"
"Matthew 5:21","
“You have heard that it was said to the ancient ones, ‘You shall not murder;’
and ‘Whoever murders will be in danger of the judgment.’

"
"Matthew 5:22","
But I tell you, that everyone who is angry with his brother without a cause


will be in danger of the judgment; and whoever says to his brother, ‘Raca!’

will be in danger of the council; and whoever says, ‘You fool!’ will be in danger of the fire of Gehenna.

"
"Matthew 5:23","
“If therefore you are offering your gift at the altar, and there remember that your brother has anything against you,

"
"Matthew 5:24","
leave your gift there before the altar, and go your way. First be reconciled to your brother, and then come and offer your gift.

"
"Matthew 5:25","
Agree with your adversary quickly, while you are with him on the way; lest perhaps the prosecutor deliver you to the judge, and the judge deliver you to the officer, and you be cast into prison.

"
"Matthew 5:26","
Most certainly I tell you, you shall by no means get out of there, until you have paid the last penny.
"
"Matthew 5:27","
“You have heard that it was said,

‘You shall not commit adultery;’
"
"Matthew 5:28","
but I tell you that everyone who gazes at a woman to lust after her has committed adultery with her already in his heart.

"
"Matthew 5:29","
If your right eye causes you to stumble, pluck it out and throw it away from you. For it is more profitable for you that one of your members should perish, than for your whole body to be cast into Gehenna.
"
